"","Study_number","Record_number","N","OtherFactor","Longitude","Clay_percent","Clay_depth","SOC_percent","SOC_depth","manipSM_per","manipSM_depth","BBL_notes","Percent_control","SM_mean","SM_sd","Author","Study_midyear","Latitude","Ecosystem_type","Manipulation","Manipulation_level","Meas_method","Species","Soil_type","Elevation","Meas_interval","Variable","Manip_Resp","Manip_SD","contSM_per","contSM_depth","Quality_flag","Control_Resp","Control_SD","Duration","sg_clay","sg_ocs","yi","vi"
"28",4257,1938,3,NA,-121.28,NA,NA,NA,NA,23,10,NA,150,0.21,NA,"Chou",2005,39.25,"Grassland","Irrigation","","IRGA","Avena spp.; Bromus spp.; Lolium spp.; Hordeum spp.","Clay loam",345,14,"Rs_annual",2.6742065903866,0.187617260787992,15,10,"Q01",2.42581190708982,0.192902254049626,2,268.659090909091,43.1590909090909,0.0974864592269205,0.0037485668872942
"29",4257,1940,3,NA,-121.28,NA,NA,NA,NA,18,10,NA,150,0.18,NA,"Chou",2006,39.25,"Grassland","Irrigation","","IRGA","Avena spp.; Bromus spp.; Lolium spp.; Hordeum spp.","Clay loam",345,14,"Rs_annual",2.51037179927596,0.245752186665962,11,10,"Q01",2.3438945115345,0.0687049124012367,3,268.659090909091,43.1590909090909,0.0686170022850071,0.00348086325504488
"30",2809,2010,4,NA,-47.95,20,20,2.2,10,22,10,"Gravimetric",121,NA,NA,"Vasconcelos",2001,-1.32,"Forest","Irrigation","5 mm/day","IRGA","Lacistema pubescens; Myrcia sylvatica; Vismia guianensis; Cupania scrobiculata","Sombriustox",NA,14,"Rs_annual",5.34048569088074,0.406944481145787,10,10,"",4.20949713289116,0.195544750680443,0,302.833333333333,53.8125,0.237973407493572,0.00199108194116574
"31",2809,2012,4,NA,-47.95,20,20,2.2,10,22,10,"Gravimetric",134,NA,NA,"Vasconcelos",2002,-1.32,"Forest","Irrigation","5 mm/day","IRGA","Lacistema pubescens; Myrcia sylvatica; Vismia guianensis; Cupania scrobiculata","Sombriustox",NA,14,"Rs_annual",5.91126496313717,0.417514467669054,10,10,"",5.25328330206379,0.332954575482916,1,302.833333333333,53.8125,0.11800657427361,0.0022514251446741
"32",2952,2061,3,NA,-96.58,NA,NA,NA,NA,20,15,NA,70,0.26,0.05,"Harper",1999,39.08,"Grassland","Drought","","IRGA","Grasses (mix)","Silty clay loam",NA,NA,"Rs_growingseason",8.67,0.692820323,NA,NA,NA,NA,NA,0,430.775510204082,97.9387755102041,NA,NA
"33",3983,2274,18,NA,-51.55,18,NA,0.9,5,NA,NA,NA,50,NA,NA,"Metcalfe",2004.5,-1.72,"Forest","Drought","","IRGA","Mix","Sand (Oxisol)",NA,30,"Rs_annual",3.43524562006183,0.422799460930687,NA,NA,"",3.43524562006183,0.438654440715588,0,370.72,40.48,0,0.0017474030243261
"34",3983,2274,18,NA,-51.55,18,NA,0.9,5,NA,NA,NA,50,NA,NA,"Metcalfe",2004.5,-1.72,"Forest","Drought","","IRGA","Mix","Sand (Oxisol)",NA,30,"Rh_annual",1.58549797849008,NA,NA,NA,"",1.84974764157176,NA,0,370.72,40.48,-0.154150679827258,NA
"35",3730,2304,12,NA,0.92,NA,NA,NA,NA,11.9,10,"""we experimentally decreased soil moisture by 30%""",0,NA,NA,"Asensio",2003,41.22,"Forest","Drought","","IRGA","Quercus ilex; Phyllirea latifolia","Stony Xerochrept",930,60,"Rs_annual",2.26990460587163,0.200829743942076,NA,NA,NA,NA,NA,0,293.941176470588,58.8235294117647,NA,NA
"36",3710,2371,6,NA,-97.52,9.7,NA,1.42,NA,22,15,"""Doubled precipitation increased soil moisture approximately by 2% volumetrically""",200,0.22,NA,"Zhou",2002,34.98,"Grassland","Irrigation","","IRGA","Grasses (mix)","Silt loam",NA,30,"Rs_annual",2.67684908701741,0.550185313267976,NA,NA,NA,NA,NA,0,324.384615384615,43.9423076923077,NA,NA
"37",4412,2917,3,NA,19.42,NA,NA,0.3,10,1.7,11,NA,95,NA,NA,"Lellei-Kovács",2003,46.87,"Grassland","Drought","","IRGA","Festuca vaginata; Populus alba","Sandy (Calcaric arenosol)",NA,NA,"Rs_growingseason",0.36,NA,2.5,11,"Q03",0.38,NA,0,192.46,35.68,-0.0540672212702758,NA
