"This is the ""water_manipulations"" data frame from SP's RMarkdown code (2020-01-26)",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Number of reps,Rs standard deviation,Manipulation level as % of control (normally =MAP),Soil moisture (volumetric),,
4257,1935,Chou,2004,Grassland,None,NA,39.25,IRGA,Clay loam,Dry,345,1480,3,152,100,,,
4257,1936,Chou,2004,Grassland,Irrigated,NA,39.25,IRGA,Clay loam,Dry,345,1568,3,6,150,,,
4257,1937,Chou,2005,Grassland,None,NA,39.25,IRGA,Clay loam,Dry,345,918,3,73,100,,,
4257,1938,Chou,2005,Grassland,Irrigated,NA,39.25,IRGA,Clay loam,Dry,345,1012,3,71,150,,,
4257,1939,Chou,2006,Grassland,None,NA,39.25,IRGA,Clay loam,Dry,345,887,3,26,100,,,
4257,1940,Chou,2006,Grassland,Irrigated,NA,39.25,IRGA,Clay loam,Dry,345,950,3,93,150,,,
2809,2009,Vasconcelos,2001,Forest,None,NA,-1.32,IRGA,Sombriustox,Dry,NA,1593,4,74,100,,,
2809,2010,Vasconcelos,2001,Forest,Irrigated,5 mm/day,-1.32,IRGA,Sombriustox,Dry,NA,2021,4,154,121,,,
2809,2011,Vasconcelos,2002,Forest,None,NA,-1.32,IRGA,Sombriustox,Dry,NA,1988,4,126,100,,,
2809,2012,Vasconcelos,2002,Forest,Irrigated,5 mm/day,-1.32,IRGA,Sombriustox,Dry,NA,2237,4,158,134,,,
2952,2060,Harper,1999,Grassland,None,NA,39.08,IRGA,Silty clay loam,Dry,NA,NA,,,,,,
2952,2061,Harper,1999,Grassland,Drought,NA,39.08,IRGA,Silty clay loam,Dry,NA,NA,,,,,,
3983,2273,Metcalfe,2004.5,Forest,None,NA,-1.72,IRGA,Sand (Oxisol),Dry,NA,1300,1,166,100,,,Estimated from Table 2 and normal distribution; Percent_control from https://link.springer.com/article/10.1007/s11104-008-9670-9
3983,2274,Metcalfe,2004.5,Forest,Drought,NA,-1.72,IRGA,Sand (Oxisol),Dry,NA,1300,1,160,50,,,Estimated from Table 2 and normal distribution; Percent_control from https://link.springer.com/article/10.1007/s11104-008-9670-9
3983,2275,Metcalfe,2004.5,Forest,None,NA,-1.72,IRGA,Clay (Oxisol),Dry,NA,1300,,,,,,Different soil types
3983,2276,Metcalfe,2004.5,Forest,None,NA,-1.72,IRGA,Anthropogenic dark earth,Dry,NA,1700,,,,,,Different soil types
3730,2303,Asensio,2003,Forest,None,NA,41.22,IRGA,Stony Xerochrept,Dry,930,859,,,,,,
3730,2304,Asensio,2003,Forest,Drought,NA,41.22,IRGA,Stony Xerochrept,Dry,930,859,,,,,,
4234,2357,Brando,2002.5,Forest,None,NA,-2.9,IRGA,Haplustox,Dry,NA,1280,1,130,100,,,
4234,2358,Brando,2002.5,Forest,Drought,65% annual precip,-2.9,IRGA,Haplustox,Dry,NA,1280,1,100,63,,,
3710,2364,Zhou,2003,Grassland,None,NA,34.98,IRGA,Silt loam,Dry,NA,835,,,,,,
3710,2368,Zhou,2002,Grassland,None,NA,34.98,IRGA,Silt loam,Dry,NA,1131,,,,,,
3710,2369,Zhou,2002,Grassland,None,NA,34.98,IRGA,Silt loam,Dry,NA,877,,,,,,
3710,2371,Zhou,2002,Grassland,Irrigated,NA,34.98,IRGA,Silt loam,Dry,NA,1013,,,,,,
105,2383,de Jong,1970,Grassland,None,NA,50.6,Gas chromatography,Heavy clay,Dry,NA,NA,,,,,,
105,2384,de Jong,1971,Grassland,None,NA,50.6,Gas chromatography,Heavy clay,Dry,NA,NA,,,,,,
105,2385,de Jong,1970,Grassland,Irrigated,NA,50.6,Gas chromatography,Heavy clay,Dry,NA,NA,,,,,,
105,2386,de Jong,1971,Grassland,Irrigated,NA,50.6,Gas chromatography,Heavy clay,Dry,NA,NA,,,,,,
105,2391,de Jong,1970,Agriculture,None,NA,50.6,Gas chromatography,Heavy clay,Dry,NA,NA,,,,,,
105,2392,de Jong,1970,Agriculture,None,NA,50.6,Gas chromatography,Heavy clay,Dry,NA,NA,,,,,,
105,2393,de Jong,1970,Agriculture,None,NA,50.6,Gas chromatography,Heavy clay,Dry,NA,NA,,,,,,
2354,2753,Lee,2001.5,Forest,None,NA,30.83,Alkali absorption,Sandy loam (Rhodic Paleudult),Dry,NA,655,3,,,,,No errors or irrigation level reported
2354,2754,Lee,2001.5,Forest,Irrigated,NA,30.83,Alkali absorption,Sandy loam (Rhodic Paleudult),Dry,NA,594,3,,,,,No errors or irrigation level reported
3665,2896,Werner,NA,Forest,None,NA,21.96,IRGA,Sandy loam (Yellow lateritic),Dry,770,NA,,,,,,
3665,2897,Werner,NA,Forest,None,NA,21.92,IRGA,Clay loam (Yellow lateritic),Dry,550,NA,,,,,,
3665,2899,Werner,NA,Forest,Irrigated,NA,21.96,IRGA,Sandy loam (Yellow lateritic),Dry,770,NA,,,,,,
3665,2900,Werner,NA,Forest,Irrigated,NA,21.92,IRGA,Clay loam (Yellow lateritic),Dry,550,NA,,,,,,
4412,2915,Lellei-Kovács,2003,Grassland,None,NA,46.87,IRGA,Sandy (Calcaric arenosol),Dry,NA,NA,,,,,,
4412,2917,Lellei-Kovács,2003,Grassland,Drought,NA,46.87,IRGA,Sandy (Calcaric arenosol),Dry,NA,NA,,,,,,
4412,2918,Lellei-Kovács,2004,Grassland,None,NA,46.87,IRGA,Sandy (Calcaric arenosol),Dry,NA,NA,,,,,,
4412,2920,Lellei-Kovács,2004,Grassland,Drought,NA,46.87,IRGA,Sandy (Calcaric arenosol),Dry,NA,NA,,,,,,
4412,2921,Lellei-Kovács,2005,Grassland,None,NA,46.87,IRGA,Sandy (Calcaric arenosol),Dry,NA,NA,,,,,,
4412,2923,Lellei-Kovács,2005,Grassland,Drought,NA,46.87,IRGA,Sandy (Calcaric arenosol),Dry,NA,NA,,,,,,
4412,2924,Lellei-Kovács,2006,Grassland,None,NA,46.87,IRGA,Sandy (Calcaric arenosol),Dry,NA,NA,,,,,,
4412,2926,Lellei-Kovács,2006,Grassland,Drought,NA,46.87,IRGA,Sandy (Calcaric arenosol),Dry,NA,NA,,,,,,
880,2987,Nakayama,1991,Agriculture,None,NA,33.05,IRGA,Clay loam (Typic Torrifluvents),Dry,NA,NA,,,,,,
880,2989,Nakayama,1991,Agriculture,Irrigated,790 mm,33.05,IRGA,Clay loam (Typic Torrifluvents),Dry,NA,NA,,,,,,
880,2990,Nakayama,1991,Agriculture,Irrigated,1050 mm,33.05,IRGA,Clay loam (Typic Torrifluvents),Dry,NA,NA,,,,,,
4352,3049,Jabro,2005,Agriculture,Irrigated,NA,48.16,IRGA,Sandy loam (Entic Haplustoll),Dry,NA,NA,,,,,,
4352,3050,Jabro,2005,Agriculture,None,NA,48.16,IRGA,Sandy loam (Entic Haplustoll),Dry,NA,NA,,,,,,
4352,3053,Jabro,2005,Agriculture,None,NA,48.16,IRGA,Sandy loam (Entic Haplustoll),Dry,NA,NA,,,,,,
1013,3113,Vose,1993,Forest,Irrigated,NA,39,IRGA,Clay loam (Xeric Haplohumult),Dry,NA,NA,,,,,,
1013,3116,Vose,1993,Forest,Irrigated,NA,39,IRGA,Clay loam (Xeric Haplohumult),Dry,NA,NA,,,,,,
4895,3512,Inglima,2004.5,Forest,None,NA,42.58527778,IRGA,NA,Dry,NA,NA,,,,,,
4895,3513,Inglima,2004.5,Shrubland,None,NA,42.58527778,IRGA,NA,Dry,NA,NA,,,,,,
4895,3514,Inglima,2004.5,Grassland,None,NA,42.58527778,IRGA,NA,Dry,NA,NA,,,,,,
4895,3515,Inglima,2004.5,Forest,Irrigated,NA,42.58527778,IRGA,NA,Dry,NA,NA,,,,,,
4895,3516,Inglima,2004.5,Shrubland,Irrigated,NA,42.58527778,IRGA,NA,Dry,NA,NA,,,,,,
4895,3517,Inglima,2004.5,Grassland,Irrigated,NA,42.58527778,IRGA,NA,Dry,NA,NA,,,,,,
4849,3737,Garten,2005,Grassland,Drought,NA,35.57,IRGA,Fragiudult (silt loam),Dry,NA,NA,,,,,,
4849,3738,Garten,2005,Grassland,None,NA,35.57,IRGA,Fragiudult (silt loam),Dry,NA,NA,,,,,,
4849,3745,Garten,2006,Grassland,Drought,NA,35.57,IRGA,Fragiudult (silt loam),Dry,NA,NA,,,,,,
4849,3746,Garten,2006,Grassland,None,NA,35.57,IRGA,Fragiudult (silt loam),Dry,NA,NA,,,,,,
4151,3814,Xiao,2004,Grassland,None,NA,42.03333333,IRGA,Chestnut soil,Dry,1350,NA,,,,,,
4151,3818,Xiao,2004,Grassland,Irrigated,NA,42.03333333,NA,Chestnut soil,Dry,1350,NA,,,,,,
4151,3819,Xiao,2004,Grassland,Irrigated,#ERROR!,42.03333333,NA,Chestnut soil,Dry,1350,NA,,,,,,
4151,3820,Xiao,2004,Grassland,Irrigated,#ERROR!,42.03333333,NA,Chestnut soil,Dry,1350,NA,,,,,,
4151,3821,Xiao,2004,Grassland,Irrigated,#ERROR!,42.03333333,NA,Chestnut soil,Dry,1350,NA,,,,,,
5587,3843,Misson,2004,Forest,None,NA,43.74138889,IRGA,Clay,Dry,270,758,3,30.32,100,,,No s.d. given; using average CV of other fluxes
5587,3844,Misson,2004,Forest,Drought,NA,43.74138889,IRGA,Clay,Dry,270,677,3,203.1,73,,,No s.d. given; using average CV of other fluxes
5587,3845,Misson,2005,Forest,None,NA,43.74138889,IRGA,Clay,Dry,270,800,3,44,100,,,No s.d. given; using average CV of other fluxes
5587,3846,Misson,2005,Forest,Drought,NA,43.74138889,IRGA,Clay,Dry,270,710,3,454.4,73,,,No s.d. given; using average CV of other fluxes
5403,3896,Joos,2007,Grassland,None,NA,47.2,IRGA,Cambisols,Dry,400,1610,,,,,,
5403,3897,Joos,2007,Grassland,Drought,-400 mm,47.2,IRGA,Cambisols,Dry,400,NA,,,,,,
5448,3965,van Straaten,2007.5,Forest,None,NA,-1.552,IRGA,Cambisol (sandy loam),Dry,560,1110,3,500,100,,,
5448,3966,van Straaten,2007.5,Forest,Drought,NA,-1.552,IRGA,Cambisol (sandy loam),Dry,560,1050,3,500,30,,,"March 2007, 60% closed, increased to 80% January 2008"
5573,4003,Cleveland,2008,Forest,None,NA,8.716666667,IRGA,Ultisol,Dry,NA,1142,,,,,,
5573,4004,Cleveland,2008,Forest,Drought,-25%,8.716666667,IRGA,Ultisol,Dry,NA,1293,,,,,,
5573,4005,Cleveland,2008,Forest,Drought,-50%,8.716666667,IRGA,Ultisol,Dry,NA,1421,,,,,,
5536,4006,Yan,2006,Grassland,None,NA,42.45,IRGA,Aridisols,Dry,NA,NA,,,,,,
5536,4008,Yan,2006,Grassland,Irrigated,15 mm H2O/week,42.45,IRGA,Aridisols,Dry,NA,NA,,,,,,
5536,4010,Yan,2007,Grassland,None,NA,42.45,IRGA,Aridisols,Dry,NA,NA,,,,,,
5536,4012,Yan,2007,Grassland,Irrigated,15 mm H2O/week,42.45,IRGA,Aridisols,Dry,NA,NA,,,,,,
5308,4150,De Dato,2002,Shrubland,None,NA,40.61666667,IRGA,Lithic Xerorthent and Typic Rhodoxeralfs (Sandy loam),Dry,40,1305.6,3,151.4,100,,,
5308,4152,De Dato,2002,Shrubland,Drought,NA,40.61666667,IRGA,Lithic Xerorthent and Typic Rhodoxeralfs (Sandy loam),Dry,40,1248.8,3,75.7,84,,,
5308,4153,De Dato,2003,Shrubland,None,NA,40.61666667,IRGA,Lithic Xerorthent and Typic Rhodoxeralfs (Sandy loam),Dry,40,832.5,3,75.7,100,,,
5308,4155,De Dato,2003,Shrubland,Drought,NA,40.61666667,IRGA,Lithic Xerorthent and Typic Rhodoxeralfs (Sandy loam),Dry,40,794.7,3,56.8,64,,,
5308,4156,De Dato,2004,Shrubland,None,NA,40.61666667,IRGA,Lithic Xerorthent and Typic Rhodoxeralfs (Sandy loam),Dry,40,1002.8,3,151.4,100,,,
5308,4158,De Dato,2004,Shrubland,Drought,NA,40.61666667,IRGA,Lithic Xerorthent and Typic Rhodoxeralfs (Sandy loam),Dry,40,983.9,3,37.8,64,,,
5368,4379,Liu,NA,Agriculture,Irrigated,NA,35.2,IRGA,Cumuli-Ustic Isohumisols,Dry,1207,NA,,,,,,
5368,4380,Liu,NA,Agriculture,None,NA,35.2,IRGA,Cumuli-Ustic Isohumisols,Dry,1207,NA,,,,,,
5368,4381,Liu,NA,Agriculture,None,NA,35.2,IRGA,Cumuli-Ustic Isohumisols,Dry,1207,NA,,,,,,
6185,4393,Wu,2004,Forest,None,NA,42.88333333,IRGA,Sandy loam,Dry,NA,NA,,,,,,
6185,4394,Wu,2004,Forest,Irrigated,NA,42.88333333,IRGA,Sandy loam,Dry,NA,NA,,,,,,
6185,4395,Wu,2005,Forest,None,NA,42.88333333,IRGA,Sandy loam,Dry,NA,NA,,,,,,
6185,4396,Wu,2005,Forest,Irrigated,NA,42.88333333,IRGA,Sandy loam,Dry,NA,NA,,,,,,
6185,4397,Wu,2002,Forest,None,NA,41.96666667,IRGA,Inceptisol,Dry,NA,NA,,,,,,
6172,4398,Yan,2007.5,Forest,Irrigated,NA,43.75,IRGA,Sandy loam,Dry,660,NA,,,,,,
6172,4399,Yan,2007.5,Forest,Irrigated,NA,43.75,IRGA,Sandy loam,Dry,660,NA,,,,,,
6172,4400,Yan,2007.5,Forest,Irrigated,NA,43.75,IRGA,Sandy loam,Dry,660,NA,,,,,,
6166,4402,Cotrufo,2008,Forest,None,NA,42.18333333,IRGA,Andisol,Dry,500,1157,3,75,100,,,SD est. from Fig 5
6166,4403,Cotrufo,2008,Forest,Drought,-20% precip,42.18333333,IRGA,Andisol,Dry,500,1415,3,125,90,,,SD est. from Fig 5
6166,4404,Cotrufo,2008,Forest,Irrigated,755 mm/yr,42.18333333,IRGA,Andisol,Dry,500,1887,3,120,204,,,SD est. from Fig 5
6166,4402,Cotrufo,2009.5,Forest,None,NA,42.18333333,IRGA,Andisol,,,1200,3,50,100,,,ADD NEW ROW NUMBER; est. from Fig 5
6166,4403,Cotrufo,2009.5,Forest,Drought,-20% precip,42.18333333,IRGA,Andisol,,,1400,3,75,90,,,ADD NEW ROW NUMBER; est. from Fig 5
6166,4404,Cotrufo,2009.5,Forest,Irrigated,755 mm/yr,42.18333333,IRGA,Andisol,,,1775,3,110,204,,,ADD NEW ROW NUMBER; est. from Fig 5
6048,4491,Yan,2009,Grassland,None,NA,42.03333333,IRGA,Chestnut soil,Dry,1324,NA,,,,,,
6048,4494,Yan,2009,Grassland,Irrigated,120 mm,42.03333333,IRGA,Chestnut soil,Dry,1324,NA,,,,,,
6048,4497,Yan,2010,Grassland,None,NA,42.03333333,IRGA,Chestnut soil,Dry,1324,NA,,,,,,
6048,4500,Yan,2010,Grassland,Irrigated,120 mm,42.03333333,IRGA,Chestnut soil,Dry,1324,NA,,,,,,
6066,4510,Thomey,2007,Grassland,None,NA,34.33888889,Gradient,Typic Haplargids,Dry,NA,NA,,,,,,
6066,4511,Thomey,2007,Grassland,Irrigated,#ERROR!,34.33888889,Gradient,Typic Haplargids,Dry,NA,NA,,,,,,
6066,4512,Thomey,2007,Grassland,Irrigated,#ERROR!,34.33888889,Gradient,Typic Haplargids,Dry,NA,NA,,,,,,
6066,4513,Thomey,2008,Grassland,None,NA,34.33888889,Gradient,Typic Haplargids,Dry,NA,NA,,,,,,
6066,4514,Thomey,2008,Grassland,Irrigated,#ERROR!,34.33888889,Gradient,Typic Haplargids,Dry,NA,NA,,,,,,
6066,4515,Thomey,2008,Grassland,Irrigated,#ERROR!,34.33888889,Gradient,Typic Haplargids,Dry,NA,NA,,,,,,
6112,4554,Talmon,2006.5,Shrubland,None,NA,33,IRGA,Clay (Terra rossa),Dry,500,758,,,,,,
6112,4555,Talmon,2006.5,Shrubland,None,NA,31.7,IRGA,Clay (Terra rossa),Dry,500,634,5,,100,,,
6112,4556,Talmon,2006.5,Shrubland,Irrigated,NA,31.7,IRGA,Clay (Terra rossa),Dry,500,715,5,,130,,,
6112,4557,Talmon,2006.5,Shrubland,Drought,NA,31.7,IRGA,Clay (Terra rossa),Dry,500,600,5,,70,,,
6112,4558,Talmon,2006.5,Shrubland,None,NA,31.38333333,IRGA,Loam (Brown Rendiza),Dry,500,429,5,,100,,,
6112,4559,Talmon,2006.5,Shrubland,Irrigated,NA,31.38333333,IRGA,Loam (Brown Rendiza),Dry,500,564,5,,130,,,
6112,4560,Talmon,2006.5,Shrubland,Drought,NA,31.38333333,IRGA,Loam (Brown Rendiza),Dry,500,472,5,,70,,,
6112,4561,Talmon,2006.5,Shrubland,None,NA,30.86666667,IRGA,Sandy clay loam (Desert lithosol),Dry,500,177,,,,,,
6168,4585,Fay,1998,Grassland,None,NA,39.08333333,IRGA,Silty clay loam,Dry,NA,NA,,,,,,
6168,4586,Fay,1999,Grassland,None,NA,39.08333333,IRGA,Silty clay loam,Dry,NA,NA,,,,,,
6168,4587,Fay,2000,Grassland,None,NA,39.08333333,IRGA,Silty clay loam,Dry,NA,NA,,,,,,
6168,4588,Fay,2001,Grassland,None,NA,39.08333333,IRGA,Silty clay loam,Dry,NA,NA,,,,,,
6168,4589,Fay,2002,Grassland,None,NA,39.08333333,IRGA,Silty clay loam,Dry,NA,NA,,,,,,
6168,4590,Fay,2003,Grassland,None,NA,39.08333333,IRGA,Silty clay loam,Dry,NA,NA,,,,,,
6168,4591,Fay,2004,Grassland,None,NA,39.08333333,IRGA,Silty clay loam,Dry,NA,NA,,,,,,
6168,4592,Fay,2005,Grassland,None,NA,39.08333333,IRGA,Silty clay loam,Dry,NA,NA,,,,,,
6168,4593,Fay,2006,Grassland,None,NA,39.08333333,IRGA,Silty clay loam,Dry,NA,NA,,,,,,
6168,4594,Fay,2006.5,Grassland,None,NA,39.08333333,IRGA,Silty clay loam,Dry,NA,NA,,,,,,
6168,4595,Fay,2007,Grassland,None,NA,39.08333333,IRGA,Silty clay loam,Dry,NA,NA,,,,,,
6168,4596,Fay,1998,Grassland,Drought,70% precip,39.08333333,IRGA,Silty clay loam,Dry,NA,NA,,,,,,
