Study_number,Record_number,N,Percent_control,SM_mean,SM_sd,Author,Study_midyear,Year,Latitude,Ecosystem_type,Manipulation,Manipulation_level,Meas_method,Soil_type,Soil_drainage,Elevation,Quality_flag,Variable,Manip_Resp,Manip_SD,Control_Resp,Control_SD
11064,7868,4,130,NA,NA,Xu,2011.5,1,42.033,Grassland,Irrigation,plus 30% precipitation,IRGA,Calcis-orthic Aridisol,Dry,1324,Q01,Rs_growingseason,5.1,0.4,4.4,0.1
11064,7873,4,115,NA,NA,Xu,2011.5,1,42.033,Grassland,Irrigation,plus 15% precipitation,IRGA,Chestnut soil,Dry,1324,Q01,Rs_growingseason,0.4,0.06,0.38,0.04
11064,7874,4,130,NA,NA,Xu,2011.5,1,42.033,Grassland,Irrigation,plus 30% precipitation,IRGA,Chestnut soil,Dry,1324,Q01,Rs_growingseason,0.46,0.01,0.38,0.04
11064,7879,4,115,NA,NA,Xu,2012.5,2,42.033,Grassland,Irrigation,plus 15% precipitation,IRGA,Calcis-orthic Aridisol,Dry,1324,Q01,Rs_growingseason,4.5,0.3,3.7,0.02
11064,7880,4,130,NA,NA,Xu,2012.5,2,42.033,Grassland,Irrigation,plus 30% precipitation,IRGA,Calcis-orthic Aridisol,Dry,1324,Q01,Rs_growingseason,4.7,0.36,3.7,0.02
11064,7885,4,115,NA,NA,Xu,2012.5,2,42.033,Grassland,Irrigation,plus 15% precipitation,IRGA,Chestnut soil,Dry,1324,Q01,Rs_growingseason,1.48,0.04,1.23,0.04
11064,7886,4,130,NA,NA,Xu,2012.5,2,42.033,Grassland,Irrigation,plus 30% precipitation,IRGA,Chestnut soil,Dry,1324,Q01,Rs_growingseason,1.49,0.002,1.23,0.04
11261,8487,2,34,0.17,0.01,Hoover,2010,1,39.08,Grassland,Drought,,IRGA,Typic Argiustoll,Dry,NA,,Rs_growingseason,7.9,0.1,10.25,0.25
11261,8489,2,34,0.11,0.005,Hoover,2011,2,39.08,Grassland,Drought,,IRGA,Typic Argiustoll,Dry,NA,,Rs_growingseason,7.25,0.5,9.75,0.15
11261,8491,2,34,0.18,0.01,Hoover,2012,3,39.08,Grassland,Drought,,IRGA,Typic Argiustoll,Dry,NA,,Rs_growingseason,8.15,0.1,7.75,0.05
